"","營業地址","統一編號","總機構統一編號","營業人名稱","資本額","使用統一發票","行業代號","名稱","行業代號2","名稱2","行業代號3","名稱3","行業代號4","名稱4","日期","縣市","年份"
"1","臺南市新營區永生里新進路２８６號騎樓",47766315,NA,"林明生",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-16,"臺南市","2016"
"2","臺南市新營區民榮里復興路１５７號",47848626,NA,"丁建銘",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-02,"臺南市","2016"
"3","臺南市柳營區東昇里中山西路１段１２０號騎樓",47771372,NA,"劉崑育",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-25,"臺南市","2016"
"4","臺南市南區郡南里新都路４４５號１樓",47788423,NA,"大冠選物販賣行",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-13,"臺南市","2016"
"5","臺南市東區東聖里富農街２段５５號",47873498,NA,"林信慧（夾娃娃機）",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-05,"臺南市","2016"
"6","臺南市東區和平里仁和路７７―１號",47776587,NA,"進來娃娃機店",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-06-01,"臺南市","2016"
"7","臺南市東區小東里光明街７３號１樓",40893934,NA,"崇明選物販賣行",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-07,"臺南市","2016"
"8","臺南市佳里區東寧里文化路１９１號",47837613,NA,"李宗霖",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-09,"臺南市","2016"
"9","臺南市安南區溪心里海佃路３段１８６號１樓",40894568,NA,"常久精品商行",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-12,"臺南市","2016"
"10","臺南市安南區淵西里安中路４段２３８號前",47772549,NA,"林明煌選物販賣機",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-20,"臺南市","2016"
